nct_id,title,condition,phase,sponsor,status,start_date,completion_date,first_posted_date,last_update_posted_date
NCT07588360,Haplo-Cord HSCT for AML/MDS,MDS (Myelodysplastic Syndrome),NA,Fujian Medical University Union Hospital,RECRUITING,2025-10-20,2029-06-30,2026-05-14,2026-06-10
NCT03391960,Passive Disinfection Cap Compliance Study,"Infection, Hospital",NA,Solventum US LLC,COMPLETED,2018-04-01,2018-10-31,2018-01-05,2024-10-02
NCT05359120,Pyrotinib Combined With Capecitabine in HER-2 Positive Advanced Breast Cancer and Brain Metastases (Post-PERMEATE),Breast Cancer,,Henan Cancer Hospital,UNKNOWN,2022-05-30,2024-05,2022-05-03,2022-09-19
NCT03836820,Effects of Clinical Pilates Exercises in Patients With Rheumatoid Arthritis,Rheumatoid Arthritis,NA,Gazi University,UNKNOWN,2018-12-24,2019-10,2019-02-11,2019-02-11
NCT00365820,Efficacy and Safety of Tegaserod in Opioid-induced Constipation in Patients With Non-cancer Pain,Constipation,PHASE2,Novartis,TERMINATED,2006-07,2007-04,2006-08-18,2012-04-20
NCT07310420,"A Trial to Evaluate Ovarian Suppression Following Subcutaneous ZOLADEX 10.8 mg in Premenopausal Women With HR+, HER2- Advanced Breast Cancer",Advanced Breast Cancer,PHASE1,TerSera Therapeutics LLC,RECRUITING,2026-08-30,2027-03-30,2025-12-30,2026-08-04
NCT05097820,Prospective Observational Study on SEBBIN Silicone Gel-filled Testicular Implants,Testicular Cancer,,"University Hospital, Ghent",RECRUITING,2021-02-05,2030-12-31,2021-10-28,2024-09-19
NCT05896020,A Study of SHR-A1811 in Subjects With Gynaecologic Oncology,Gynaecological Malignancies,PHASE2,"Jiangsu HengRui Medicine Co., Ltd.",UNKNOWN,2023-07-10,2026-06-15,2023-06-09,2023-08-22
NCT07617220,FIRST-Sask Study Protocol: A Remote Exercise Oncology Intervention,Exercise Oncology,NA,University of Saskatchewan,NOT_YET_RECRUITING,2026-05,2027-07-30,2026-06-01,2026-06-01
NCT02801682,NOBICS - NOvel BIomarker In Invasive CandidiasiS/Candida Sepsis,Invasive Candidiasis,,Medical University of Graz,COMPLETED,2016-06,2021-08,2016-06-16,2021-09-22
NCT00683059,Single Agent Abraxane as Second Line Therapy in Bladder Cancer,Transitional Cell Carcinoma,PHASE2,Sunnybrook Health Sciences Centre,COMPLETED,2008-03,2012-06,2008-05-23,2016-10-17
NCT00008359,Caspofungin Acetate Compared With Amphotericin B Liposomal in Treating Patients With Persistent Fever and Neutropenia Following Cancer Treatment,Cancer,PHASE3,Memorial Sloan Kettering Cancer Center,COMPLETED,2000-08,,2003-09-04,2013-01-18
NCT01231659,Safety and Efficacy of RAD001 (Everolimus) in Combination With Letrozole in the Treatment of Postmenopausal Women With Locally Advanced or Metastatic Breast Cancer,Postmenopausal Women,PHASE2,Novartis Pharmaceuticals,COMPLETED,2011-08-09,2017-04-30,2010-11-01,2021-03-26
NCT00833859,"Neoadjuvant Gemcitabine, Docetaxel, and Capecitabine in Combination With Stereotactic Radiosurgery",Pancreatic Neoplasms,PHASE2,H. Lee Moffitt Cancer Center and Research Institute,TERMINATED,2009-03,2010-03,2009-02-02,2017-10-09
NCT01374659,Diagnostic Utility of [18F]-FDG-PET/CT and [124I]-PET/CT for Detection of Recurrence in Differentiated Thyroid Carcinoma,Thyroid Cancer,,Korean Association of Endocrine Surgeons,UNKNOWN,2009-07,2012-08,2011-06-16,2011-06-16
NCT00411580,Safety and Tolerability Study in Patients With Mild to Moderate Alzheimer's Disease (AD),Alzheimer's Disease,PHASE1,Novartis Pharmaceuticals,COMPLETED,2005-06,2008-12,2006-12-14,2013-03-29
NCT02435680,Efficacy Study of MCS110 Given With Carboplatin and Gemcitabine in Advanced Triple Negative Breast Cancer (TNBC),Advanced Triple Negative Breast Cancer (TNBC) With High TAMs,PHASE2,Novartis Pharmaceuticals,COMPLETED,2015-08-10,2020-03-23,2015-05-06,2021-06-21
NCT04369079,Myofascial Versus Conventional Physiotherapy,Sports,NA,The Greater Poland Cancer Centre,COMPLETED,2013-01-01,2014-12-31,2020-04-30,2020-09-02
